Index,Name,Description,Cat,Prc,Pow,Dur,Mag,Cd,Cd I
253,Chest Mega Particle Cannon & I-Field,Fire compressed Mirnovsky particles from Mega Particle Cannons on four of your turrets. Raises your Beam Resist by 59%.,1,A,D,,,60,15
254,Chest-Mounted Gatling & Machine Cannons,Fire the Gatling and machine cannons in your chest.,2,A-,C-,,,21,3
255,Aerial Spin,Launch an acrobatic blow with the knife on your forearm. Lowers hit enemy Gunpla's Melee Attack by 19%.,4,D,B+,,,21,6
256,Beam Gatling Gun,Fire the Gatling gun suspended on your back. You can move while firing.,1,A-,D,,11,60,0
257,Sana's Signature Rabbit Spike,Hop around like a rabbit and strike using the force of a volleyball spike. Squad recovers 38% of maximum Armor. Raises Shot Defense of your Squad by 39%.,4,A+,C-,,,79,8
258,Belly Beam!,Fire a sonic blast with a more straightforward name at target.,1,B+,C-,,,60,15
259,170mm Autocannon,Attack enemies ahead with the autocannon on your arm.,2,A-,D,,11,60,0
260,Bloody Wrench,"Bulldoze attacking enemies with your Wrench Mace, then pulverize them into the ground. Squad recovers 48% of maximum Armor. Raises Melee Attack of your Squad by 29%.",4,D,A,,,79,20
261,Mace Rush,"Blow away the enemy with your Wrench Mace, then leap into the air, pulverizing them on the way down. Raise your Melee Defense by 24%.",4,D,C-,,,21,6
262,Trial System,Activate Trial System and stop all Gunpla movement within vicinity for a fixed period of time.,2,,,,,41,11
263,Halberd,Unleash a barrage of attacks with the halberd in your right hand. Raise your Melee Attack by 24%.,4,D,C-,,,21,6
264,Four-Arm Combat,Engage in close-quarters combat using your sub-arms and halberd. Squad recovers 48% of maximum Armor. Raises Melee Defense of your Squad by 29%.,4,D,A,,,79,20
265,Halberd Throw,Throw the halberd suspended from your shield at an enemy directly ahead.,4,D,B+,,,21,6
266,Mega-Beam Cannon (Dendrobium),"Summon the armed base Orchis, which fires a beam from its 90m-long turret.",1,A+,C-,,,79,20
267,Dual Beam Shredder,Execute suppressive fire with special rounds from your Gatling Gun.,1,A-,C-,,,21,3
268,Quadruple-Barrel Mega Particle Cannon,Fire beams from the Quadruple-Barrel High-Caliber Mega Particle Cannon mounted on your shield.,1,A,D,,,60,15
269,HEAT REV SWORD,Unleash a two-bladed barrage of attacks.,3,D,B+,,,21,6
270,Quick Slash,"Unleash a two-hit attack with your blade, knocking enemies away.",4,A,D,,,21,3
271,Defense Up γ,Raise Melee and Shot Defense of your squad by 39%.,5,,,37,,33,7
272,Satellite Cannon,Receive microwaves from the moon and fire the converged energy.,1,A+,C-,,,79,20
273,Mega Sonic Cannon,Unleash high-caliber mega particle beams from your waist.,1,A,D,,,60,15
274,Strike Claw,"Extend arm to strike, then shoot your beam cannon.",1,D,A-,,,21,6
275,Beam Hack β,Reduce Beam Resist of all enemies by 39%.,7,,,51,,33,7
276,Combo Weapon Pod,Fire missiles and a Vulcan from the unit on your shoulder. You can move while firing.,2,A-,D,,7,60,0
277,Agni,Wedge the Agni cannon on your back under your arm to fire.,1,A-,D,,,60,15
278,Todesschrecken,Fire the anti-air autocannons in your head at foes straight ahead. Chance of piercing super armor with multiple hits. You can move freely while firing. Lowers hit enemy Gunpla's Melee and Shot Defense by 14%.,2,D-,D,,,19,5
279,Beam Rifle Shorty,Fire the twin pistols on your legs.,1,A,D,,,21,3
280,Dual Linear Guns,Bombard enemies with dual railguns. You can move while firing.,2,D,B+,,7,60,0
281,High Mega Cannon,Fire at enemies ahead with the Mega Particle Cannon in your head.,1,A,D,,,60,15
282,Biosensor,Temporarily increase energy output using Biosensor. Raise your speed by 20%. Raise your Melee Defense by 29%. Raise your Beam Resist by 49%.,6,,,51,,60,12
283,Double Cannon & Missile Launcher,Fire Double Cannon and 18-shot missile from your backpack at target.,2,D,B+,,,21,6
284,Hyper Beam Saber,Execute a combo with your gigantic enhanced saber. Raise your Melee Attack by 24%.,3,D,B+,,,21,3
285,Chest Missile Launcher,Fire all eight rocket-propelled grenades from your chest's add-on armor at target.,2,D,B+,,,21,6
286,Hidden Arms,Unleash a combo with dual Beam Sabers hidden in your waist's add-on armor. Lower's hit enemy Gunpla's Melee Defense by 19%.,3,A,D,,,21,6
287,High-Caliber Mega Particle Cannon,Fire an ultra-wide beam from the two High-Caliber Mega Particle Cannons in your Hi-Mega Shield.,1,A,D,,,60,15
288,Twin Blade Slash,Unleash a barrage of attacks with your twin blades.,3,D,B+,,,21,6
289,Offense Hack β,Reduce Melee and Shot Attack of all enemies by 24%.,7,,,37,,33,7
290,Defense Hack β,Reduce Melee and Shot Defense of all enemies by 24%.,7,,,37,,33,7
291,Serpent Bite,"Attack with dual sabers held in a backhand grip, striking enemies like a snake striking its prey.",3,B+,B-,,,21,3
292,Saber Boomerang,"Slash with your saber, then hurl it point-first.",3,D,B,,,21,6
293,Claw Mode,"Change the tip of your shield into a claw shape, and catch and crush enemies. Lowers hit enemy Gunpla's Physical Resist by 29%.",4,D,B,,,21,3
294,Hand Missile Pod,Launch missiles stored in your forearm. You can move while firing.,2,A,D,,11,60,0
295,Missile Pod & Beam Cannon,Attack enemies ahead with the missile and beam cannon on your back.,1,D,B+,,,21,6
296,Big Beam Bazooka,Fire a high-energy beam at enemies from your bazooka.,1,A,D,,,60,15
297,Combat Stance γ,Raise Melee Attack of your Squad by 39%.,5,,,51,,33,7
298,Universal Boost Pod,Transform your propeller-tank-integrated vernier unit at will to boost mobility. Raise speed by 20%. Raise your speed by 20%. Raise your Melee Attack by 19%.,6,,,51,,60,12
299,Heat Rod,Execute a combo with your whip.,4,A,D,,,21,3
300,Composite Armed Shield System,Attack enemies with the beam weaponry integrated into your left arm. You can move while firing.,1,A,D,,11,60,0
301,DRAGOON System,Use the DRAGOON System to hit foes in all directions. You can move freely while this skill is active.,1,A+,D,,,60,6
302,Beam Vulcan,Fire the Beam Vulcan in your head at foes straight ahead. Chance of piercing super armor with multiple hits. You can move freely while shooting. Lowers hit enemy Gunpla's Melee Defense by 14%. Lowers hit enemy Gunpla's Shot Defense by 14%.,1,D-,D,,,19,5
303,IFS Unit Barrier,Create a force field barrier through the I-Field control system. Raise your Shot Defense by 19%. Raise your Beam Resist by 29%. Your Gunpla resists flinching for a set period of time.,6,,,51,,60,12
304,IFS Unit Combo,Attack an enemy with an I-Field control system force field. Raise Shot attack of your Squad by 29%. Raise Beam Resist of your squad by 69%.,1,D,A,,,79,20
305,Beam Gun,Launch rapid-fire beam guns from your torso. You can move while firing.,1,D,B,,7,60,0
306,Heat Dagger,Unleash a barrage of attacks with the daggers in your soles. Raise your Melee Attack by 14%.,4,A-,D,,,21,3
307,Sub-Knuckle,Catch enemies and crush them with the sub-knuckle on your arm. Lowers hit enemy Gunpla's Physical Resist by 29%.,4,D,B+,,,21,3
308,Knife Attack,Unleash a flurry of attacks with the knife in your right hand.,4,D,B+,,,21,6
309,Demolition Knife,"Attack the enemy with a large, folded close-quarters weapon longer than a mobile suit.",4,D,B+,,,21,6
310,Zero System,Activate the Zero System to predict battle conditions. Raise your speed by 20%. Raise your Melee Attack by 19%. Raise your Shot Attack by 29%. You become easier to target for a set period of time.,6,,,51,,60,12
311,Feather Dive,Attack foes with the beam sabers on your wing binders. Raise Melee Attack of your Squad by 39%.,3,D,A,,,79,20
312,Rolling Buster Rifle,"Hold a detached twin buster rifle in each hand and spin, firing in all directions.",1,A+,C-,,,60,15
313,EXAM System,Activate the anti-Newtype OS EXAM System. Raise your speed by 20%. Raise your Melee Attack by 39%.,6,,,37,,60,12
314,Abdominal Wired Missile,Fire wire-guided missiles.,2,D,B,,,21,6
315,Moonbeam Butterfly,Fire a straight line of nanomachines upward with your back to the enemy.,1,D,B+,,,60,15
316,Fusion Destruction Manipulator,Fire beams from your open palm and blast caught enemies with a Shining Finger. Raise Melee Attack of your Squad by 39%.,3,D,A,,,79,20
317,Carapace,Attack enemies with the rifle and bazooka equipped to your weapon platform.,1,D,B+,,,21,6
318,Close-In Weapons System,Fire the anti-air autocannons in your head at foes straight ahead. Chance of piercing super armor with multiple hits. You can move freely while firing. Lowers hit enemy Gunpla's Melee Defense by 14%. Lower's hit enemy Gunpla's Shot Defense by 14%.,2,D-,D,,,19,5
319,Yata-no-Kagami,Repel beams with nanoscale beam diffraction grating and hyperfine plasma criticality inhibitor layers. Raise your Beam Resist by 109%. Your Gunpla resists flinching for a set period of time.,6,,,37,,60,12
320,Experimental Twin Beam Saber,"Perform a combo with two detached sabers, then link them for a spinning attack.",3,D,B+,,,21,6
321,High-Energy Beam Cannon,"Fire a powerful, high-energy beam at enemies.",1,B+,C-,,,60,15
322,Moonbeam Butterfly,Discharge nanomachines from your rear vanes to fly in and annihilate the enemy. Squad recovers 68% of maximum Armor. Raise Shot Attack of your Squad by 39%.,1,A-,B+,,,79,20
323,Flip Jump Saber,Brandish sabers in both hands and leap-attack the enemy.,3,A+,D,,,21,3
324,Flexible Smash,Pulverize the enemy with your hammer.,4,D,B+,,,21,6
325,Launch Build Booster,"Detach your backpack to have it operate on its own, attacking enemies with a large beam cannon. Raise Melee Attack of your Squad by 24%. Raise Shot Attack of your Squad by 24%.",1,D,A,,,79,29
326,Beam Gun,Launch rapid-fire beam gun shots from your shield. You can move while firing.,1,D,B,,11,60,0
327,Point-Blank Shot,"Detach your head unit, and unleash a decisive, destiny-changing attack on the enemy from above. Raise Shot Attack of your Squad by 29%. Raise Shot Defense of your Squad by 19%.",1,A+,C-,,,79,4
328,5-Barrel Mega Particle Cannon,Detach your forearm and fire mega particle cannon beams at the enemy.,1,A+,D,,,21,3
329,Torso Mega Particle Cannon,Fire at enemies ahead with the mega particle Cannon equipped to your waist.,1,B+,C-,,,60,15
330,Photon Laser Cannon,Fire highly compressed photon energy from the photon laser cannon on your chest.,1,A,D,,,60,15
331,Beam Saber,Execute a combo with the saber on the back of your hand.,3,D,B+,,,21,6
332,Beam Ring,Throw a disk formed from a beam saber forward.,3,A,D,,,21,6
333,Beam Shotgun,Fire a scattering beam using specialized ammunition.,1,D,B-,,9,60,0
334,Defense Up β,Raise Ally Melee and Shot Defense by 29%.,5,,,37,,33,7
335,90mm Gatling Cannon,Rapidly fire rounds from your forearm Gatling Cannon. You can move while firing.,2,A,D,,11,60,0
336,Seventh Tri-Shot,Bathe foes in triple beams from your rifle.,1,B-,D,,,60,15
337,Defense Up α,Raise your Melee and Shot Defense by 39%.,5,,,37,,33,7
338,Stream Slash,Unleash a blindingly fast flurry with sabers in each hand.,3,B+,B-,,,21,6
339,Flight Unit Combo,"Hammer enemies into the ground with the twin beam sabers, and launch shoulder Funnel Missiles. Raise Melee Attack of your Squad by 29%.",2,D,A,,,79,20
340,Funnel Missiles,Fire Funnel Missiles to hit foes in all directions. You can move freely while this is active.,2,A+,D,,,60,6
341,Berserker System,"Activate the Berserker System, temporarily enhancing combat prowess. Raise your speed by 20%. Raise your Melee Attack by 39%. Raise your Melee Defense by 19%.",6,,,37,,60,12
342,Burning Finger,Gather energy in the palm of your hand and obliterate enemies in your grasp. Lowers hit enemy Gunpla's Physical Resist by 29%.,4,D,B,,,21,3
343,Beam Hoop,Throw a hoop made from beams like a boomerang.,3,A,D,,,21,3
344,Beam Ribbon,Deftly manipulate your beam ribbon to perform an elegant sequence of attacks.,3,A,D,,,21,3
345,7-Barrel Missile Launcher,Attack enemies by launching missiles stowed in your shoulder's add-on armor.,2,D,B+,,,21,6
346,Twin Beam Rifle & Rocket Launcher,Fire at foes straight ahead with dual large beam rifles and heavy ordnance.,2,D,B+,,,21,6
347,6-Barrel Missile Launcher,Attack enemies by launching missiles stowed in your knee's add-on armor.,2,D,B+,,,21,6
348,Free Improvisation,"Crush the enemy with the heavy weaponry on your back, then unleash a thunderous finisher. Raise Shot Attack of your Squad by 39%.",1,D,A,,,79,20
349,Arm Grenade Launcher,Launch grenades from your forearm. You can move while firing.,2,A-,D,,7,60,0
350,Leg Missile Pod,Launch missiles from the pod mounted on your leg.,2,D,B,,,21,6
351,Heat Rush,Ready a saber in each hand and execute a rush attack.,4,A,D,,,21,3
352,Heaven's Judgement,Hack away at enemies with the beam sword held in the hidden arms equipped to your waist. Squad recovers 48% of maximum Armor. Raise Melee Attack of your Squad by 29%.,3,A+,C-,,,79,20
353,Beam Chakram,Launch a ring-shaped beam from your clavicle antenna. Chance of piercing super armor with multiple hits. You can move freely while firing. Lowers hit enemy Gunpla's Melee Defense by 19%. Lowers hit enemy Gunpla's Shot Defense by 19%.,1,D-,D,,,19,5
354,GN Vulcan,"Attack enemies ahead with small, rapid-fire particle beams from your torso.",1,D,B,,7,60,0
355,Trans-Am Raid,Release particles in your GN Drive for a high-speed attack. Raise Melee Attack of your Squad by 39%.,4,D,B+,,,79,20
356,NT-D,Enter Destroy Mode and Increase your reflexes with Psycho Frame. Raise your speed by 20%. Raises your Shot Attack by 29%. Raises your Shot Defense by 19%.,6,,,51,,60,12
357,Armed Armor,Drag foes with your claw unit and crush them with a torrent of light from your dual beam deflector fins. Squad recovers 48% of maximum Armor. Raise Shot Attack of your Squad by 29%.,1,D,A,,,79,20
358,Choukyuu Haou Den'eidan,"Wrapped in a spiraling aura, launch yourself at the enemy in a straight line, like a cannonball.",4,B+,B,,,19,5
359,Hyper Mode,Enter Hyper Mode for enhanced combat prowess. Raise your speed by 20%. Raise your Melee Attack by 29%. Raise your Melee Defense by 19%.,6,,,51,,60,12
360,Sekiha Tenkyouken,Use Master Asia's final art to fire a huge chi bullet made of power borrowed from nature. Raise Melee Defense of your Squad by 29%. Raise Beam Resist of your Squad by 69%.,3,D,A,,,79,20
361,Juuni Ouhoupai Daishahei,"Use chi to create multiple small clones, and unleash them upon enemies.",4,D,B+,,,21,6
362,Jigen Haoh Style Gokui,Draw out your Gunpla's latent power with Plavsky Particles to temporarily increase performance. Raise your speed by 20%. Raise your Melee Attack by 39%.,6,,,44,,60,12
363,Jigen Haoh Style Shippu-Zuki,"Hit Enemies with Seiken-Zuki and Ryusei Rasen-Ken, and finish with a Shippu-Zuki stab. Raise your Melee Attack by 19%.",4,D,B+,,,21,6
364,Jigen Haoh Style Seiso-Geri,Use the Jigen Haoh style to make a tornado with Senpu Tatsumaki-Geri and unleash a Seiso-Geri. Raise your Melee Attack by 19%.,4,D,B+,,,21,6
365,Houou Haoh-Ken,Launch a single phoenix-shaped strike with flame-engulfed arms. Squad recovers 48% of maximum Armor. Raise Melee Attack of your Squad by 29%.,4,D,A,,,79,20
366,MA-81R Beam Assault Cannon,Fire a beam straight at enemies from the beam assault cannon on your back.,1,D,B,,,21,6
367,Full Saber Attack,Attack using quantum teleports and the Trans-Am System. Raise Melee Attack of your Squad by 29%. Raise Physical Resist of your Squad by 69%.,4,D,A,,,79,20
368,Wide Cutter Particle Beam,Change direction of the main blade unit to fire a blade beam.,1,A,D,,,21,3
369,GN Fang,Attack with GN Fangs and fire in all directions. You can move freely while this is active.,3,A+,D,,,60,6
370,GN Field,Release GN particles to create a force field barrier. Raise your speed by 20%. Raise your Shot Defense by 49%.,6,,,,,60,12
371,Mirage Colloid,Go Stealthy with colloidal particles on your armor. Raise your Melee and Shot Attack by 19%. You become harder to target for a set period of time.,6,,,51,,60,12
372,Trikeros Rush,"A combo attack with the Trikeros Kai, a composite armament unit.",3,D,B+,,,19,5
373,Maga no Ikutachi,"Grab a foe with the unit on your back, then feed it colloidal particles. Recover 48% of your maximum Armor.",4,A+,C-,,,21,3
374,Beam Vulcan,Fire the Beam Vulcans in your chest at foes straight ahead. You can move while shooting.,1,D,B,,7,60,0
375,Flexible Beam Gun,Fire the beam gun attached to your flexible thrusters.,1,D,B,,,21,6
376,Grenade Launcher,Launch grenades from your shield.,2,A-,D,,,21,3
377,SD Tackle,Execute a rush attack using your whole body. Lowers hit enemy Gunpla's Melee Attack by 19%.,4,A-,B-,,,19,2
378,Super Electrospear,Unleash a barrage of attacks with your Electrospear and follow with a lightning attack.,4,B+,B-,,,21,3
379,Comet Sword,Unleashes a blinding flash of light with comet-speed swordsmanship that leaves no evil unscathed.,3,D,B+,,,21,6
380,SD Attack,"After a rush attack, unleash a barrage of attacks with your equipped weapons. Lowers hit enemy Gunpla's Shot Attack by 19%.",4,D,B+,,,21,6
381,Mega Particle Scatter Cannon,Fire the mega particle cannon in your abdomen.,1,A,D,,,60,15
382,Funnel Combination,"Launch six funnels to fire at the enemy, and throw a beam tomahawk.",1,D,A-,,,79,20
383,Piercing Axe,Unleash a flurry of thrusting attacks with the weapon in your right hand.,3,B+,C,,,21,3
384,Small Missiles,Launch small missiles stowed in your shoulder. You can move while firing.,2,D,B,,11,60,0
385,GN Shield Pod,Launch GN Missiles from your shield. You can move while firing.,1,B+,D,,7,60,0
386,GN Stealth Field,Release a massive wave of GN particles from your two back units. Support allies over a wide area. Raise Ally Melee and Shot Defense by 19%. Raise Ally Beam and Physical Resist by 29%.,5,,,37,,60,12
387,IFS Unit,"Create a force field with the I-Field control system, swinging it like a staff to temporarily stun enemies. Lowers hit enemy Gunpla's Melee Defense by 19%.",3,,,,,21,3
388,Tri-Claw Slash,Grip three beam sabers with your fist in a spinning attack. Raise your Melee Attack by 19%.,3,A,D,,,30,3
389,Arm-Mounted GN Vulcan,Launch rapid-fire GN Vulcan shots from your forearm. You can move while firing.,1,A,D,,11,60,0
390,30mm Machine Gun,Attack enemies ahead with the 30mm machine guns in your torso.,2,D,B,,,60,0
391,200mm x 25 Smoothbore Gun,Attack enemies with the gun on your arm. You can move while firing.,2,D,B,,11,60,0
392,Hyper Minovsky Chohouken Tryzan,"Restrain enemies with pressure from the liger on your chest, then brandish the Hyper Minovsky Chohouken to deliver an almighty death blow. Raise Melee Attack of your squad by 39%.",3,D,A+,,,79,40
393,Armed Booster,Detach your forearm and unleash a rocket punch.,4,D,B+,,,21,6
394,Raptor Breaker,Unleash a pulverizing kick with your shin and crush your enemy when your claws latch on. Lowers hit enemy Gunpla's Melee Attack by 29%.,4,D,B+,,,21,3
395,Double Cannonade,Fire powerful long-range beams from the cannon on your back.,1,B+,C-,,,60,15
396,Gerbera Straight/Tiger Pierce,Unleash a combo with the two swords on your waist.,4,B+,B-,,,21,6
397,Tactical Arms II L,Transform your Tactical Arms into sword form and unleash a combo attack.,4,D,A-,,,21,6
398,Barrier Stance γ,Raise Shot Defense of your Squad by 39%.,5,,,,,33,7
399,Alaya-Vijnana Limit Breaker,Break the Alaya-Vijnana System's limits to temporarily increase your unit's performance. Raise your speed by 20%. Raise your Melee Attack by 39%. Your Gunpla resists flinching for a set period of time.,6,,,44,,60,12
400,200mm Arm Rifle,Attack enemies with 200mm rifles equipped to your arms.,2,D,B+,,,21,6
401,Wolf's Howl,Grind enemies to dust with your twin maces. Raise speed of your Squad by 20%. Raise Melee Attack of your Squad by 29%. Raise Melee Defense of your Squad by 19%.,4,D,A,,,79,20
402,Mace Rush,"Blow away the enemy with your Sword Mace, then leap into the air, pulverizing them on the way down. Raise your Melee Defense by 24%.",4,D,C,,,21,6
403,Alaya-Vijnana System [Type-E],Break the Alaya-Vijnana System to temporarily increase your unit's performance. Raise your speed by 20%. Raise your Melee Attack by 39%. Raise your vernier capacity by 50%.,6,,,44,,60,12
404,Demon's Hunt,"Crush enemies with a combination attack using Hunter's Edge, Handgun, and Burst Saber. Raise speed of your Squad by 20%. Raise Melee Attack of your Squad by 29%. Raise Shot Attack of your Squad by 19%.",4,A-,A,,,79,20
405,Cyclone/Burning Machine Gun Punch,Unleash a tornado with your left fist and do up to ten rapid-fire punches with your right.,4,D,B,,,21,6
406,Gigantic Magnum,Fire the twin pistols on your waist.,1,D,B,,,21,6
407,Machine Cannon,Fire the machine cannon in your chest at foes straight ahead. You can move freely while shooting.,2,D,B,,7,60,0
408,Verde Fenice,"After readying a rapier and charging an enemy, send it flying with your cloaked fist.",3,D,B+,,,19,5
409,Meteor Hopper,"Fire the Buster Rifle mounted on your Meteor Hopper, a one-wheeled motorcycle, as you ride it. Raise Shot Attack of your Squad by 39%.",1,D,A,,,79,20
410,Rapid Thrust,Unleash a blindingly fast flurry with sabers in each hand.,3,D,A-,,,21,6
411,Missile Pod,Fire micro missiles from your backpack into the air to bombard enemies.,2,B,B,,,21,6
412,Lightning Snipe,Snipe a target with a precise shot of converging beams.,1,A+,C-,,,21,6
413,Plasma Claw,Fire thermal plasma beams from your fingertips.,1,B+,B+,,,21,6
414,Photon Bomb,Launch photon bombs stowed in the lower half of your body.,2,D-,B,,,21,6
415,Palma Fiocina,"Charge forward, capture an enemy, and fire a beam from your palm at point-blank range. Lowers hit enemy Gunpla's Physical Resist by 29%.",3,B,B+,,,21,3
416,Arondight,"Form wings of light with radiation pressure from Voiture Lumiere, then rush with Arondight. Raise speed of your Squad by 20%. Raise Melee Attack of your Squad by 29%. Raise Shot Defense of your Squad by 19%.",4,D,A,,,79,20
417,Darkness Sword,Crystalize the wicked power of darkness into a sword and slice enemies to shreds. Recover 38% of your maximum Armor.,4,A+,D,,,21,3
418,GN Cannon & GN Field,Fire at enemies ahead with dual movable beam turrets on your back. Raise your Beam Resist by 59%.,1,B+,D,,,60,15
419,GN Bazooka (w/ Particles Unlocked),Widen the barrel of your GN Bazooka and bombard enemies with compressed particles.,1,B,B,,,21,3
420,Alaya-Vijnana System,Break the Alaya-Vijnana System to temporarily increase your unit's performance. Raise your speed by 20%. Raise your Melee Attack by 39%. Your attacks stun large foes more easily for a set period.,6,,,44,,60,12
421,Spirit of Agnika,Attack using the two blades said to symbolize Agnika's strength.,4,D,A-,,,21,3
422,Electromagnetic Cannon,Attack enemies ahead with the electromagnetic cannons in your wing-shaped thrusters.,2,B+,C,,,21,3
423,Beam Gun,Launch rapid-fire beam guns from your torso. You can move while firing.,1,B,B+,,,21,6
424,Heat Dagger,Unleash a barrage of attacks with the daggers in your soles. Raise your Melee Attack by 14%.,4,A,C-,,,21,3
425,Jovian Stinger,Unleash a frenzied barrage with your lance. Raise your Melee Defense by 19%.,4,D,A-,,,21,6
426,Alaya-Vijnana System,Enter the Alaya-Vijnana System to temporarily increase your unit's performance. Raise your speed by 20%. Raise your Melee Attack by 29%.,6,,,44,,60,12
427,Wind Edge,Mow down nearby foes with your axe.,4,D,B,,,21,6
428,Butterfly Edge,Emit a beam saber from the melee weapon on your arm and throw it at enemies.,3,A,D,,,21,3
429,Psycho Plate,Use psycommu to hit foes in all directions. You can move freely while this skill is active.,4,D,B+,,,60,15
430,SD Tackle,Execute a rush attack using your whole body. Lowers hit enemy Gunpla's Melee Attack by 19%.,4,B+,C,,,19,2
431,SD Missile Launcher,Fire missiles from the launcher mounted on your back.,2,D,B,,,21,6
432,SD Attack,"After a rush attack, unleash a barrage of attacks with your equipped weapons. Lowers hit enemy Gunpla's Shot Attack by 19%.",4,D,B,,,21,6
433,Dual Wave,Hold Grenade Launcher in both hands and fire high-power rounds.,2,A+,D,,,21,3
434,Chest Launcher,Fire the Vulcan in your chest at foes straight ahead. You can move freely while shooting.,2,D,B,,7,60,0
435,Twin Satellite Cannon,Receive microwaves from the moon and converge the energy into dual beam blasts.,1,A+,C-,,,79,20
436,Trans-Am Burst,Discharge a burst of condensed GN particles to engulf a wide area. Raise speed of your Squad by 20%. Squad recovers 48% of maximum Armor. Raise Melee and Shot Defense of your Squad by 19%. Raise Beam and Physical Resist of your Squad by 29%.,6,,,51,,60,12
437,Raiser Sword,Use a large beam saber formed by outputting a massive amount of energy to cut enemies apart.,3,D,B+,,,21,6
438,Callidus Multi-Phase Beam Cannon,Fire away with the high-energy Callidus Multi-Phase Beam Cannon on your chest.,1,A-,D,,,60,15
439,3-Barrel Beam Cannon,Fire at enemies using six beam cannons stowed in your shoulders.,1,A-,D,,,60,15
440,Balaena Kai Dual Beam Cannons,Attack enemies ahead by firing highly compressed plasma energy from your plasma beam cannon.,1,D,B,,,21,6
441,Satellite Cannon,Receive microwaves from the moon and fire the converged energy.,1,A+,C-,,,79,20
442,Brave Axe Combo,Bring down a wild rush of blows with your equipped axe.,4,D,C-,,,21,6
443,FX Burst Mode,Activate FX Burst mode to obtain an aberranthy massive amount of power. Raise your Melee Attack by 29%. Raise your Beam Resist by 29%. Your Gunpla resists flinching for a set period of time.,6,,,51,,60,12
444,Burst Slash,"Activate FX Burst mode, emit spikes of beam energy, and execute a high-speed rush attack. Squad recovers 48% of maximum Armor. Raise Melee Attack of your Squad by 29%.",3,A-,B+,,,79,8
445,C Funnels,Launch C Funnels in all directions. You can move freely while this is active.,3,A+,D,,,60,6
446,Barrier Tackle,"Spin the C Funnels on your back around your Gunpla to prevent damage, and execute a rush attack. Raise your Melee Attack by 19%. Raise your Melee Defense by 19%.",3,A-,B-,,,21,3
447,Tactical Arms II,Transform your Tactical Arms into a sword form and Gatling form to attack in waves. Raise Melee and Shot Attacks of your Squad by 24%.,4,D,A,,,79,20
448,Graviton Hammer,Pulverize enemies to a pulp with the cannonball stored on your shoulder. Raise your Melee Defense by 29%.,4,D,B,,,21,6
449,Flash-Eye,Release an intense flash of light from the device on your chest to blind enemies.,2,,,,,19,5
450,Anchor Shot,Discharge the anchor mounted on your arm.,4,D,C,,,21,3
451,Sub Leg [Flight Form],"Activate your sub legs' flight form, then unleash a series of kicking combo attacks. Lowers hit enemy Gunpla's Melee Defense by 19%.",4,A+,D,,,19,2
452,Shield Bash,Unleash a combo with the shield on your right arm. Lowers hit enemy Gunpla's Melee Attack by 19%.,4,B+,B-,,,19,2
453,Fortress Four Booster,"Gather your four SigMaxiss Cannons together and fire a massive, space-ripping beam.",1,D,B-,,,60,15
454,Trans-Am,Fully release all highly-compressed particles in your GN Drive. Raise your speed by 20%. Raise your Melee Attack by 19%. Raise your Shot Attack by 29%.,6,,,51,,60,12
455,Small GN Fin Fangs,Launch GN Fin Fangs at foes in all directions. You can move while this is active.,1,A+,C-,,,60,6
456,Reborns Cannon Mode,Perform a combo with your GN Fin Fangs and blow enemies away with your GN Cannon. Raise speed of your Squad by 20%. Squad recovers 48% of maximum Armor. Raise Shot Attack of your Squad by 29%.,1,D,A,,,79,20
457,Small GN Fin Fangs,Launch GN Fin Fangs at foes in all directions. You can move while this is active.,3,A+,C-,,,60,6
458,Wings of Light,"Increase Minovsky Drive output and rush towards enemies, using your wings of light as beam sabers. Squad recovers 48% of maximum Armor. Raise Melee Attack of your Squad by 29%.",3,A+,C,,,79,8
459,CIWS,Fire the close-range defense system in your chest at foes straight ahead. You can move freely while shooting.,2,B+,D,,7,60,0
460,Beam Claw,Use the saber on your leg in a series of combo attacks. Raise your Melee Attack by 19%.,3,A,D,,,21,3
461,Callidus Kai Dual Phase Beam Cannons,Fire away with the high-energy Callidus Kai Dual Phase Beam Cannons on your back.,1,A-,D,,,60,15
462,Picus,Fire the close-range defense system in your chest at foes straight ahead. You can move freely while firing.,2,B+,D,,7,60,0
463,Reuse P Device,Control your unit with electrical signals sent from the pilot's brain to increase performance. Raise your Speed by 20%. Raise your Shot Attack by 29%. Raise your vernier capacity by 75%.,6,,,37,,60,12
464,Bump of Living Dead,Freely control the heavy weaponry on your back and bombard enemies in all directions. Squad recovers 48% of maximum Armor. Raise Shot Attack of your Squad by 29%.,2,D,A,,,79,20
465,Dragon Fang,Unleash a burst of flame at enemies ahead of you from your dragon-shaped arm. Raise your Melee Attack by 19%. Raise your Melee Defense by 19%.,4,A+,D,,,21,3
466,Comet Shot,Jump up high and hit foes with a flying kick. Lowers hit enemy Gunpla's Shot Attack by 14%. Lowers hit enemy Gunpla's Melee Defense by 14%.,4,D,B,,,21,6
467,G-Self Combination,"Blow away the enemy with vigorous punches, then bisect them away with your saber. Raise speed of your Squad by 20% Raise Melee Attack of your Squad by 29% Raise Shot Defense of your Squad by 19%.",3,A+,C,,,79,8
468,Laser Pod,Fire the laser pods in your main wings. You can move while firing.,1,D,B,,7,60,0
